feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
low52w_prox_adj,57,-0.0667566142944271,-0.0703337150177896,0.3543859649122807,0.3684210526315789,0.17257906221116923,-0.3559200006296669,0.015333926004198525,0.02340424343041232,0.008070317426213794,0.6363636363636362,8.591458717454677e-05
dist_52w_high,51,-0.0702468160515424,-0.08465246381057441,0.28823529411764703,0.2833333333333333,0.17257906221116923,-0.07891631748026741,0.043716434993343496,0.010467695429125446,-0.03324873956421805,-0.9757575757575757,0.00037972494665333977
rsi_14,57,-0.012367624054768638,0.0072715046058833424,0.2596491228070176,0.2535087719298246,0.17257906221116923,-0.25176072332601457,0.01784803449698479,0.027111819230647597,0.009263784733662808,0.8060606060606059,0.22500470607490516
rvol_20,57,-0.0009587631077193027,-0.0016913918001311642,0.24035087719298245,0.24824561403508769,0.17257906221116923,-0.16897643539978918,0.023757472598158896,0.02333038003025955,-0.00042709256789934605,0.0303030303030303,0.8764187016177196
turnover_log,57,-0.08123683551702798,-0.09515314940261496,0.20350877192982456,0.2596491228070176,0.17257906221116923,-0.18669598065946985,0.0487925762567818,0.022469624191727836,-0.026322952065053966,-0.9030303030303028,0.0003513967015674794
close_to_ma60,56,-0.009669929248468597,0.0040692790009163315,0.3857142857142857,0.3964285714285714,0.17257906221116923,-0.5094000194913927,0.008052857620206631,0.02963411305814376,0.02158125543793713,0.9393939393939393,0.490821859259051
close_to_ma240,51,-0.010263164081580406,-0.0016695178431887971,0.3725490196078431,0.3941176470588236,0.17257906221116923,-0.4901401879893197,0.009360882843799689,0.02925594553212729,0.0198950626883276,0.8545454545454544,0.5364783593379954
atr_ratio_20_60,56,-0.014799662123050781,-0.013152027867390361,0.2857142857142857,0.28928571428571426,0.17257906221116923,-0.29837155450484865,0.01915525428551138,0.031510095029967725,0.012354840744456346,0.8181818181818182,0.09651721498034432
foreign_pct,53,-0.006350236938214579,0.005766368314783149,0.12830188679245283,0.12358490566037736,0.17257906221116923,-0.11349263709313236,0.01712928009859047,0.018822032470498056,0.0016927523719075868,0.16363636363636364,0.3374766828048279
total_pct,53,-0.00858049254557887,0.0015118935432525704,0.12075471698113208,0.12169811320754717,0.17257906221116923,-0.11298039302248454,0.018073202402917456,0.016980239952657777,-0.0010929624502596796,-0.006060606060606061,0.22784062971381913
foreign_net_pressure,53,-0.006134792117777752,0.006130416039281216,0.12830188679245283,0.12264150943396226,0.17257906221116923,-0.10878454924144203,0.017389832732773097,0.018563513784916028,0.0011736810521429317,0.2606060606060606,0.3556528725243142
trust_net_pressure,53,-0.007411845302094497,-0.0046250935578980995,0.08679245283018867,0.0839622641509434,0.17257906221116923,-0.12663242872721425,,,,,0.12703592790797855
f_score,55,0.08595178491918086,0.07597369470696792,0.16,0.19454545454545458,0.17257906221116923,-0.1097934030958175,,,,,8.786402650840384e-12
z_score,55,-0.003993043677320079,-0.00985269921761309,0.15999999999999998,0.19000000000000003,0.17257906221116923,-0.11119671540628824,0.020389990999635507,0.01568979107359491,-0.004700199926040597,-0.23636363636363633,0.5310145910700994
